mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
2.854695764680274e-20,56764768871.93785,8.430885425649776e-20,2161377019979.025
2.9367857118786583e-20,58397102844.99355,8.673324899582554e-20,2100961537593.5642
3.021236246679574e-20,60076376394.34933,8.922735989846708e-20,2042234807553.5254
3.1081152504012013e-20,61803939319.65277,9.179319173012525e-20,1985149625328.3887
3.197492556364514e-20,63581180235.54146,9.443280690577018e-20,1929660105863.279
3.289440006025114e-20,65409527687.80759,9.71483271474028e-20,1875721646696.6897
3.3840315067194437e-20,67290451301.66412,9.994193518949651e-20,1823290892108.9814
3.481343091071572e-20,69225462963.03088,1.0281587653348113e-19,1772325698273.0251
3.581452978108005e-20,71216118033.78424,1.0577246125267076e-19,1722785099379.1064
3.684441636130341e-20,73264016601.961,1.088140658491066e-19,1674629274706.5032
3.790391847395444e-20,75370804767.90417,1.1194313516378193e-19,1627819516615.7144
3.8993887746560335e-20,77538175967.40283,1.1516218434181173e-19,1582318199435.1562
4.0115200296142435e-20,79767872332.87035,1.1847380085409835e-19,1538088749217.768
4.1268757433441345e-20,82061686093.67511,1.2188064657714754e-19,1495095614342.7751
4.245548638738805e-20,84421461016.72952,1.253854599326774e-19,1453304236939.397
4.3676341050411225e-20,86849093888.51122,1.2899105808876373e-19,1412681025109.2
4.493230274517679e-20,89346536039.70169,1.3270033922428233e-19,1373193325924.9028
4.622438101337238e-20,91915794913.66058,1.3651628485845713e-19,1334809399184.045
4.755361442717956e-20,94558935680.01373,1.4044196224741307e-19,1297498391896.1274
4.892107142407488e-20,97278082894.63017,1.444805268496269e-19,1261230313483.077
5.0327851165642775e-20,100075422207.34569,1.4863522486229326e-19,1225976011672.7395
5.177508442107813e-20,102953202118.78123,1.5290939583060735e-19,1191707149066.376
5.326393447610158e-20,105913735787.69371,1.5730647533210054e-19,1158396180360.9868
5.479559806800535e-20,108959402890.28659,1.6182999773814795e-19,1126016330208.4746
5.637130634759158e-20,112092651532.99542,1.6648359905489883e-19,1094541571693.594
5.799232586877245e-20,115316000220.27794,1.7127101984590146e-19,1063946605413.5001
5.965995960662269e-20,118632039878.98102,1.7619610823875798e-19,1034206839142.1559
6.137554800471434e-20,122043435940.93431,1.8126282301825904e-19,1005298368063.0378
6.314047005256107e-20,125552930485.4161,1.8647523680844295e-19,977197955554.5181
6.49561443940536e-20,129163344443.24377,1.918375393461812e-19,949883014512.2089
6.68240304677618e-20,132877579864.2303,1.973540408488779e-19,923331589193.5088
6.874562968003238e-20,136698622249.85399,2.030291754790253e-19,897522337569.5596
7.072248661182078e-20,140629542953.00726,2.0886750490838786e-19,872434514170.5057
7.275619026022096e-20,144673501646.74158,2.1487372198466122e-19,848047953410.3435
7.484837531570543e-20,148833748864.02078,2.2105265450359525e-19,824343053377.7705
7.700072347608436e-20,153113628610.48944,2.2740926908956156e-19,801300760080.2296
7.921496479825866e-20,157516581052.3934,2.3394867518773876e-19,778902552128.2603
8.149287908883429e-20,162046145281.77432,2.4067612917106867e-19,757130425848.0647
8.38362973347355e-20,166705962161.2015,2.4759703856534285e-19,735966880810.1068
8.624710317494708e-20,171499777250.28702,2.547169663957565e-19,715394905762.3153
8.87272344145848e-20,176431443816.36942,2.620416356584729e-19,695397964956.4252
9.127868458250481e-20,181504925931.77335,2.6957693392077224e-19,675959984856.5303
9.390350453369671e-20,186724301660.1199,2.7732891805346217e-19,657065341219.2195
9.660380409776602e-20,192093766334.2848,2.853038190994061e-19,638698846534.7692
9.93817537748087e-20,197617635928.59384,2.935080472820162e-19,620845737819.4695
1.0223958648006477e-19,203300350528.01437,3.0194819715780766e-19,603491664749.101
1.0517959933872945e-19,209146477897.08334,3.1063105291708505e-19,586622678124.1824
1.0820415553238413e-19,215160717151.47986,3.1956359383707974e-19,570225218657.5931
1.1131568619852382e-19,221347902535.17865,3.2875299989189886e-19,554286106075.6069
1.1451669238469867e-19,227713007306.20175,3.3820665752376874e-19,538792528523.62506
1.178097470588626e-19,234261147734.1365,3.479321655802765e-19,523732032267.97284
1.211974971775167e-19,240997587212.57663,3.579373414222994e-19,509092511685.62933
1.2468266581334011e-19,247927740489.85242,3.6823022720762103e-19,494862199533.6936
1.28268054343987e-19,255057178021.38782,3.7881909635519126e-19,481029657490.91364
1.3195654470384142e-19,262391630447.24756,3.8971246019532345e-19,467583766963.53253
1.3575110170050825e-19,269936993198.40964,4.0091907481107697e-19,454513720148.19495
1.3965477539792776e-19,277699331235.5174,4.1244794807640464e-19,441809011344.62384
