mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
1.298316496301891e-16,258166340340142.1,3.834369238915461e-16,2.5631175236476553e-24,475236496.06133485,174366720.25732338
1.3362440541243168e-16,265708121430458.0,3.94638218909805e-16,2.6379935560794385e-24,461747523.2737212,169417546.60565814
1.3752795849613838e-16,273470219630816.28,4.061667359619046e-16,2.7150569327047556e-24,448641417.5183618,164608848.84181318
1.4154554558905443e-16,281459071037467.06,4.1803203414429717e-16,2.7943715521366522e-24,435907311.610131,159936639.73954543
1.456804979524629e-16,289681299763533.9,4.302439518021219e-16,2.87600317965035e-24,423534646.81489193,155397045.24486956
1.4993624416336697e-16,298143723431530.3,4.4281261468686676e-16,2.960019501713849e-24,411513164.0945087,150986301.263808
1.5431631295736399e-16,306853358826329.56,4.557484443523404e-16,3.046490182111532e-24,399832895.6003585,146700750.54131666
1.5882433615456217e-16,315817427713262.25,4.690621667958969e-16,3.135486919707186e-24,388484156.4083038,142536839.62880346
1.6346405167097736e-16,325043362826188.3,4.827648213521125e-16,3.227083507894558e-24,377457536.4882429,138491115.93771526
1.6823930661790163e-16,334538814030498.9,4.968677698462737e-16,3.321355895784643e-24,366743892.9015928,134560224.87675393
1.7315406049180724e-16,344311654666143.94,5.113827060152449e-16,3.4183822511802964e-24,356334342.2202526,130740907.07035501
1.7821238845744285e-16,354369988075971.4,5.263216652035667e-16,3.518243025390646e-24,346220253.1607285,127029995.65611027
1.8341848472683865e-16,364722154324776.9,5.416970343428049e-16,3.621021019938922e-24,336393239.42733246,123424413.6589002
1.8877666603701536e-16,375376737114623.94,5.575215622224044e-16,3.726801455218871e-24,326845152.75852823,119921171.43956274
1.9429137522929368e-16,386342570902193.6,5.738083700606063e-16,3.835672041156976e-24,317568076.170636,116517364.21597359
1.9996718493316594e-16,397628748224052.5,5.905709623841695e-16,3.947723049938902e-24,308554317.3933058,113210169.65448755
2.0580880135777682e-16,409244627235898.44,6.078232382259014e-16,4.063047390860367e-24,299796402.4913286,109996845.52974816
2.1182106819417158e-16,421199839472064.4,6.255795026493208e-16,4.181740687364749e-24,291287069.6674718,106874727.45091611
2.1800897063154028e-16,433504297831698.9,6.438544786099894e-16,4.3039013563312e-24,283019263.24121386,103841226.65243584
2.2437763949077923e-16,446168204798229.75,6.626633191633227e-16,4.429630689678812e-24,274986127.79839647,100893827.84751293
2.3093235547881915e-16,459202060898967.5,6.820216200290645e-16,4.5590329383549476e-24,267181002.5069141,98030087.14251114
2.376785535672196e-16,472616673411809.2,7.019454325227618e-16,4.6922153987768084e-24,259597415.59376293,95247630.01055327
2.4462182749869033e-16,486423165326320.75,7.224512768650527e-16,4.829288501798527e-24,252229078.97883433,92544149.32263231
2.517679344252457e-16,500632984566568.25,7.435561558797094e-16,4.970365904276935e-24,245069883.0610377,89917403.43461299
2.5912279968186373e-16,515257913483395.56,7.65277569091875e-16,5.1155645833124484e-24,238113891.6524004,87365214.32852703
2.66692521699597e-16,530310078623997.7,7.876335272381454e-16,5.2650049332429805e-24,231355337.0559591,84885465.80662599
2.744833770622004e-16,545801960786873.6,8.10642567200509e-16,5.418810865471156e-24,224788615.28336564,82476101.73669626
2.825018257104868e-16,561746405370531.7,8.343237673765741e-16,5.5771099112079414e-24,218408281.40822718,80135124.34717563
2.9075451629871755e-16,578156633024510.9,8.586967634988086e-16,5.740033327217729e-24,212209045.051336,77860592.5706608
2.99248291707458e-16,595046250611529.0,8.83781764915873e-16,5.907716204652324e-24,206185765.9940527,75650620.43443505
3.0799019471748955e-16,612429262489886.4,9.095995713496082e-16,6.08029758106449e-24,200333449.91619053,73503375.49667604
3.1698747384947374e-16,630320082125463.0,9.361715901415454e-16,6.257920555693748e-24,194647244.25487387,71417077.32704967
3.262475893741979e-16,648733544042911.2,9.635198540032022e-16,6.440732408119779e-24,189122434.18094578,69389996.03043324
3.357782194984091e-16,667684916126001.5,9.916670392849482e-16,6.628884720382242e-24,183754438.68957168,67420450.81253777
3.4558726673135426e-16,687189912277296.0,1.0206364847785592e-15,6.822533502668091e-24,178538806.80180743,65506808.586243786
3.5568286443729277e-16,707264705447623.5,1.0504522110690114e-15,7.02183932267033e-24,173471213.87398705,63647482.61749663
3.6607338357943943e-16,727925941046207.9,1.081138940451633e-15,7.226967438725938e-24,168547458.0118569,61840931.209633805
3.767674396609173e-16,749190750742544.1,1.1127221174310933e-15,7.438087936843163e-24,163763456.5864909,60085656.425056286
3.8777389986846284e-16,771076766671442.2,1.1452279298191896e-15,7.655375871731506e-24,159115242.84910235,58380202.8431856
3.991018904248324e-16,793602136053066.5,1.1786833304489976e-15,7.879011411951852e-24,154598962.64193413,56723156.35367241
4.107608041559936e-16,816785536240068.6,1.2131160595233562e-15,8.10917998930687e-24,150210871.2025065,55113142.98385856
4.2276030827936093e-16,840646190204260.9,1.248554667616171e-15,8.346072452595216e-24,145947330.05857772,53548827.75952219
4.3511035241957166e-16,865203882475745.6,1.2850285393457195e-15,8.589885225857827e-24,141804804.0112286,52028913.59795582
4.478211768583991e-16,890478975547620.9,1.3225679177394468e-15,8.8408204712465e-24,137779858.2035876,50552140.232466556
4.609033210256981e-16,916492426759969.9,1.3612039293106073e-15,9.099086256650894e-24,133869155.27274705,49117283.1673994
4.743676322383668e-16,943265805677025.1,1.4009686098673862e-15,9.364896728221857e-24,130069452.5825272,47723152.66282415
4.882252746946186e-16,970821311972008.4,1.441894931076037e-15,9.638472287935025e-24,126377599.53477892,46368592.7480385
5.024877387310028e-16,999181793834437.1,1.4840168278000028e-15,9.920039776341569e-24,122790534.95700175,45052480.26307164
5.171668503498299e-16,1028370766915126.2,1.5273692262376403e-15,1.0209832660657251e-23,119305284.5641158,43773723.92739527
